,S2AQ21A,S1Q2A,S1Q2B,S1Q2C1,S1Q2C3,S1Q2C4,S1Q2E,S1Q6A
769,4,1,1, , , ,0,7
770, ,1,2, , , , ,7
771, ,1,1, , , ,3,8
772,5,1,1, , , ,13,9
773,10,2, ,2,2,2, ,6
774,10,1,2, , , , ,8
775,7,1,1, , , , ,8
776, ,1,1, , , , ,6
777, ,1,2, , , , ,8
778, ,1,1, , , , ,3
779,2,1,1, , , , ,14
780,9,1,1, , , , ,10
781,10,1,1, , , , ,11
782,9,1,2, , , , ,11
783, ,1,1, , , , ,8
784,6,1,1, , , , ,10
785,10,1,2, , , , ,8
786,1,1,1, , , , ,4
787, ,1,2, , , , ,8
788,10,1,1, , , , ,12
789,9,1,1, , , , ,13
790,6,1,1, , , , ,8
791,2,1,1, , , , ,12
792,10,1,1, , , , ,1
793,5,1,1, , , , ,12
794,6,1,1, , , , ,10
795, ,1,1, , , , ,6
796,99,1,1, , , , ,7
797,1,1,2, , , , ,10
798, ,1,1, , , , ,6
799,1,1,1, , , , ,11
800,3,1,1, , , ,8,10
801, ,1,2, , , , ,12
802,6,1,1, , , ,2,10
803, ,1,1, , , ,10,7
804, ,1,1, , , ,6,7
805, ,1,1, , , , ,7
806, ,1,2, , , , ,9
807, ,2, ,2,2,2, ,10
808, ,1,1, , , ,99,8
809,5,1,1, , , , ,8
810,1,1,1, , , , ,8
811,1,1,1, , , ,7,9
812,10,1,1, , , , ,14
813,10,1,2, , , , ,5
814,4,1,2, , , , ,8
815, ,1,1, , , , ,7
816,6,1,2, , , , ,8
817,10,1,1, , , , ,8
818,4,1,1, , , , ,8
819, ,1,1, , , , ,8
820, ,1,1, , , , ,8
821,9,1,1, , , , ,11
822,6,1,1, , , , ,4
823,10,2, ,2,2,2, ,9
824, ,1,1, , , , ,3
825,6,1,2, , , , ,7
826,7,1,1, , , , ,8
827, ,1,2, , , , ,6
828,10,1,2, , , , ,11
829,5,1,2, , , , ,8
830, ,1,2, , , , ,4
831,6,2, ,2,2,2, ,7
832,10,1,1, , , , ,4
833,8,1,1, , , ,7,8
834, ,1,1, , , , ,10
835,6,1,2, , , , ,8
836,1,1,1, , , ,10,11
837, ,1,1, , , , ,8
838,10,1,1, , , , ,14
839,1,1,1, , , , ,7
840,4,1,1, , , , ,13
841, ,1,2, , , , ,7
842,10,1,1, , , , ,9
843, ,1,1, , , , ,9
844,9,1,1, , , , ,10
845,10,1,1, , , , ,7
846,6,1,2, , , , ,7
847, ,1,2, , , , ,9
848,1,1,1, , , ,0,4
849,9,1,1, , , ,11,10
850, ,1,2, , , , ,8
851,10,1,1, , , , ,11
852,1,1,1, , , , ,14
853,4,1,2, , , , ,8
854, ,1,1, , , , ,4
855,7,1,2, , , , ,10
856, ,1,2, , , , ,4
857,2,1,1, , , , ,4
858,3,1,1, , , , ,10
859,6,1,1, , , ,3,10
860,7,1,1, , , , ,10
861,8,1,1, , , , ,7
862,10,1,1, , , , ,7
863, ,1,1, , , , ,11
864,7,1,2, , , , ,9
865,5,1,1, , , , ,7
866,4,1,1, , , ,17,8
867,9,1,2, , , , ,10
868,4,1,1, , , ,12,12
869,6,1,1, , , , ,10
870,4,1,1, , , ,99,10
871,3,1,1, , , , ,11
872,1,1,2, , , , ,8
873,3,1,2, , , , ,11
874,3,1,1, , , , ,13
875,6,1,1, , , ,13,7
876,9,1,1, , , ,13,7
877,5,1,1, , , , ,7
878,3,1,1, , , , ,14
879,10,9, ,9,9,9, ,8
880, ,1,1, , , , ,7
881, ,1,1, , , , ,14
882,9,2, ,2,2,2, ,6
883,4,1,1, , , , ,10
884,7,1,1, , , , ,12
885,6,1,1, , , , ,8
886, ,1,1, , , ,7,4
887, ,1,1, , , , ,7
888, ,1,1, , , , ,7
889,3,1,1, , , , ,10
890,9,1,1, , , , ,7
891, ,1,2, , , , ,10
892, ,9, ,9,9,9, ,10
